# F28 centrebody profile -- THE REGISTERED ARTIFACT of section 4.
# Actuator-disk representation; no rotor.
# nose: C1 smoothstep TANGENT TO THE AXIS at the apex (x=-0.03);
# tail: STRAIGHT CONE terminating AT the exit plane (section 7.1).
x_m,r_m
0.085345,0.0375
0.08546,0.0375
0.085575,0.0375
0.08569,0.0375
0.085805,0.0375
0.08592,0.0375
0.086035,0.0375
0.08615,0.0375
0.086265,0.0375
0.08638,0.0375
0.086495,0.0375
0.08661,0.0375
0.086725,0.0375
0.08684,0.0375
0.086955,0.0375
0.08707,0.0375
0.087185,0.0375
0.0873,0.0375
0.087415,0.0375
0.08753,0.0375
0.087645,0.0375
0.08776,0.0375
0.087875,0.0375
0.08799,0.0375
0.088105,0.0375
0.08822,0.0375
0.088335,0.0375
0.08845,0.0375
0.088565,0.0375
0.08868,0.0375
0.088795,0.0375
0.08891,0.0375
0.089025,0.0375
0.08914,0.0375
0.089255,0.0375
0.08937,0.0375
0.089485,0.0375
0.0896,0.0375
0.089715,0.0375
0.08983,0.0375
0.089945,0.0375
0.09006,0.0375
0.090175,0.0375
0.09029,0.0375
0.090405,0.0375
0.09052,0.0375
0.090635,0.0375
0.09075,0.0375
0.090865,0.0375
0.09098,0.0375
0.091095,0.0375
0.09121,0.0375
0.091325,0.0375
0.09144,0.0375
0.091555,0.0375
0.09167,0.0375
0.091785,0.0375
0.0919,0.0375
0.092015,0.0375
0.09213,0.0375
0.092245,0.0375
0.09236,0.0375
0.092475,0.0375
0.09259,0.0375
0.092705,0.0375
0.09282,0.0375
0.092935,0.0375
0.09305,0.0375
0.093165,0.0375
0.09328,0.0375
0.093395,0.0375
0.09351,0.0375
0.093625,0.0375
0.09374,0.0375
0.093855,0.0375
0.09397,0.0375
0.094085,0.0375
0.0942,0.0375
